"22.04 10:54:43,195|" handle_new_id hat status: 442te Nachricht erstellt. 
"22.04 10:54:43,195|" write_new_message hat status: started. 
"22.04 10:54:43,195|" drop_message hat status: started. 
"22.04 10:54:43,195|" loop_redakteur hat status: start. 
"22.04 10:54:43,195|" getmsgid hat status: started. 
"22.04 10:54:43,913|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:43,927|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:43,927|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 464 'vergessen' zu senden. 
"22.04 10:54:43,927|" calcNewIntervall hat status: started. 
"22.04 10:54:43,927|" calcNewIntervall hat status: New: 0. 
"22.04 10:54:43,927|" calcNewIntervall hat status: Result: 2. 
"22.04 10:54:43,927|" loop_leser hat status: start. 
"22.04 10:54:43,927|" getmessage hat status: started. 
"22.04 10:54:44,536|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 279, Termi: true. 
"22.04 10:54:44,536|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:54:44,536|" loop_redakteur hat status: start. 
"22.04 10:54:44,536|" getmsgid hat status: started. 
"22.04 10:54:45,379|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:45,395|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:45,395|" handle_new_id hat status: 501te Nachricht erstellt. 
"22.04 10:54:45,395|" write_new_message hat status: started. 
"22.04 10:54:45,395|" drop_message hat status: started. 
"22.04 10:54:45,395|" loop_redakteur hat status: start. 
"22.04 10:54:45,395|" getmsgid hat status: started. 
"22.04 10:54:46,064|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:46,081|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:46,081|" handle_new_id hat status: 526te Nachricht erstellt. 
"22.04 10:54:46,081|" write_new_message hat status: started. 
"22.04 10:54:46,081|" drop_message hat status: started. 
"22.04 10:54:46,081|" loop_redakteur hat status: start. 
"22.04 10:54:46,081|" getmsgid hat status: started. 
"22.04 10:54:46,673|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:46,689|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:46,689|" handle_new_id hat status: 549te Nachricht erstellt. 
"22.04 10:54:46,689|" write_new_message hat status: started. 
"22.04 10:54:46,689|" drop_message hat status: started. 
"22.04 10:54:46,689|" loop_redakteur hat status: start. 
"22.04 10:54:46,689|" getmsgid hat status: started. 
"22.04 10:54:47,454|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:47,468|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:47,468|" handle_new_id hat status: 569te Nachricht erstellt. 
"22.04 10:54:47,468|" write_new_message hat status: started. 
"22.04 10:54:47,468|" drop_message hat status: started. 
"22.04 10:54:47,468|" loop_redakteur hat status: start. 
"22.04 10:54:47,468|" getmsgid hat status: started. 
"22.04 10:54:48,125|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:48,140|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:48,140|" handle_new_id hat status: 592te Nachricht erstellt. 
"22.04 10:54:48,140|" write_new_message hat status: started. 
"22.04 10:54:48,140|" drop_message hat status: started. 
"22.04 10:54:48,140|" loop_redakteur hat status: start. 
"22.04 10:54:48,140|" getmsgid hat status: started. 
"22.04 10:54:48,905|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:48,919|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:48,919|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 614 'vergessen' zu senden. 
"22.04 10:54:48,919|" calcNewIntervall hat status: started. 
"22.04 10:54:48,919|" calcNewIntervall hat status: New: 0. 
"22.04 10:54:48,919|" calcNewIntervall hat status: Result: 2. 
"22.04 10:54:48,919|" loop_leser hat status: start. 
"22.04 10:54:48,919|" getmessage hat status: started. 
"22.04 10:54:49,653|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 0, Termi: true. 
"22.04 10:54:49,653|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:54:49,653|" loop_redakteur hat status: start. 
"22.04 10:54:49,653|" getmsgid hat status: started. 
"22.04 10:54:50,199|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:50,215|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:50,215|" handle_new_id hat status: 651te Nachricht erstellt. 
"22.04 10:54:50,215|" write_new_message hat status: started. 
"22.04 10:54:50,215|" drop_message hat status: started. 
"22.04 10:54:50,355|" loop_redakteur hat status: start. 
"22.04 10:54:50,355|" getmsgid hat status: started. 
"22.04 10:54:51,181|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:51,198|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:51,198|" handle_new_id hat status: 676te Nachricht erstellt. 
"22.04 10:54:51,198|" write_new_message hat status: started. 
"22.04 10:54:51,198|" drop_message hat status: started. 
"22.04 10:54:51,198|" loop_redakteur hat status: start. 
"22.04 10:54:51,198|" getmsgid hat status: started. 
"22.04 10:54:51,931|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:51,947|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:51,947|" handle_new_id hat status: 699te Nachricht erstellt. 
"22.04 10:54:51,947|" write_new_message hat status: started. 
"22.04 10:54:51,947|" drop_message hat status: started. 
"22.04 10:54:51,947|" loop_redakteur hat status: start. 
"22.04 10:54:51,947|" getmsgid hat status: started. 
"22.04 10:54:52,960|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:52,976|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:52,976|" handle_new_id hat status: 719te Nachricht erstellt. 
"22.04 10:54:52,976|" write_new_message hat status: started. 
"22.04 10:54:52,976|" drop_message hat status: started. 
"22.04 10:54:52,976|" loop_redakteur hat status: start. 
"22.04 10:54:52,976|" getmsgid hat status: started. 
"22.04 10:54:53,631|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:53,647|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:53,647|" handle_new_id hat status: 742te Nachricht erstellt. 
"22.04 10:54:53,647|" write_new_message hat status: started. 
"22.04 10:54:53,647|" drop_message hat status: started. 
"22.04 10:54:53,647|" loop_redakteur hat status: start. 
"22.04 10:54:53,647|" getmsgid hat status: started. 
"22.04 10:54:54,801|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:54,816|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:54,816|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 764 'vergessen' zu senden. 
"22.04 10:54:54,816|" calcNewIntervall hat status: started. 
"22.04 10:54:54,816|" calcNewIntervall hat status: New: 0. 
"22.04 10:54:54,816|" calcNewIntervall hat status: Result: 2. 
"22.04 10:54:54,816|" loop_leser hat status: start. 
"22.04 10:54:54,816|" getmessage hat status: started. 
"22.04 10:54:55,472|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 577, Termi: true. 
"22.04 10:54:55,472|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:54:55,472|" loop_redakteur hat status: start. 
"22.04 10:54:55,488|" getmsgid hat status: started. 
"22.04 10:54:56,018|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:56,034|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:56,034|" handle_new_id hat status: 801te Nachricht erstellt. 
"22.04 10:54:56,034|" write_new_message hat status: started. 
"22.04 10:54:56,034|" drop_message hat status: started. 
"22.04 10:54:56,034|" loop_redakteur hat status: start. 
"22.04 10:54:56,034|" getmsgid hat status: started. 
